"Firmenname ","Branche","Adresse","PLZ","Stadt","Land","E-Mail","Tel","Fax","E-Mail2","Tel2","Fax2"
"Raiffeisen-Gemeindegebäudeleasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Raiffeisen-IMPULS Kfz und Mobilien GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Alpha Immobilien GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Bautenleasing Gesellschaft m.b.H.","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,"+4373265968997",,,
"Raiffeisen-IMPULS-Beta Immobilien GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Delta Immobilien GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Delta Mobilienleasing GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Epsilon Immobilien GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Fuhrparkmanagement GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Gamma Immobilien GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Holding GmbH & Co KG","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Immobilien GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Immobilienleasing GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Kappa Immobilien GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Lambda Immobilien GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Leasing Gesellschaft m.b.H.","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Leasing Gesellschaft m.b.H. & Co.KG.","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Liegenschaftsverwaltung Gesellschaft m.b.H.","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Mobilienleasing GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-My Immobilien GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Omega Immobilien GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Projekt Atzbach GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Projekt Eferding GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Projekt Gänserndorf GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Projekt Graz-Webling GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Projekt Hörsching GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Projekt Kittsee GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Projekt Lehen GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Projekt Ort GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Projekt Straßwalchen GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Projekt Traunviertel GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Projekt Urstein GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Projekt Wien-Nord GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Projekt Wolfsberg GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Rankweil Immobilien GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Realitätenleasing GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Rho Immobilien GmbH & Co KG","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Vermietungsgesellschaft m.b.H.","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Xi Immobilien GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-IMPULS-Zeta Immobilien GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Raiffeisen-Kommunalgebäudeleasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Raiffeisen-Leasing Aircraft Finance GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Raiffeisen-Leasing Anlagen und KFZ Vermietungs GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Raiffeisen-Leasing Beteiligung GesmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Raiffeisen-Leasing Fuhrparkmanagement Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Raiffeisen-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Raiffeisen-Leasing Immobilienmanagement Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,"+431716012109",,,
"Raiffeisen-Leasing Immobilienverwaltung Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Raiffeisen-Leasing International Gesellschaft m.b.H.","Finanzinstitut","Am Stadtpark 3",1030,"Wien","Österreich",,,,,,
"Raiffeisen-Leasing Liegenschaftsverwaltung Kraußstraße Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Raiffeisen-Leasing Mobilien und KFZ GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Raiffeisen-Leasing Österreich GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Raiffeisen-Leasing Wärmeversorgungsanlagenbetriebs GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"""Raiffeisen-Rent"" Vermögensberatung und Treuhand Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Raiffeisen-Wohnbauleasing Österreich GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"RALT Raiffeisen-Leasing Gesellschaft m.b.H.","Finanzinstitut","Am Stadtpark 9",1030,"Wien","Österreich",,,,,,
"RALT Raiffeisen-Leasing Gesellschaft m.b.H. & Co KG","Finanzinstitut","Am Stadtpark 9",1030,"Wien","Österreich",,,,,,
"RAN elf Raiffeisen-Anlagenvermietung Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"RAN vierzehn Raiffeisen-Anlagenvermietung Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,"+4317160121",,,
"RAN zehn Raiffeisen-Anlagenvermietung Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"RBI ITS Leasing-Immobilien GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"RBI Leasing GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Realitas Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Baumschulgasse 5",8230,"Hartberg","Österreich",,,"+431588945000",,,
"Real-Lease Grundstücksverwaltungs-Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Realplan Beta Liegenschaftsverwaltung Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Real-Rent Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Regev Realitätenverwertungsgesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Rehazentrum Kitzbühel Immobilien-Leasing GmbH","Finanzinstitut","Adamgasse 3-7",6020,"Innsbruck","Österreich",,,,,,
"REMUS Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"RF sechs BAWAG P.S.K. LEASING GmbH & Co. KG.","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,,,,
"RF 17 BAWAG Immobilienleasing GmbH","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,"+431534533200",,,
"RHEA-Immorent Holding GmbH","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"RICOH AUSTRIA GmbH","Finanzinstitut","Schillingstraße 6",1220,"Wien","Österreich",,,,,,
"RICOH Capital Austria GmbH","Finanzinstitut","Schillingstraße 6",1220,"Wien","Österreich",,,,,,
"Riesenradplatz GmbH","Finanzinstitut","Prater 7/Top 3",1020,"Wien","Österreich",,,,,,
"RIL II GmbH","Finanzinstitut","Inkustraße 1-7",3400,"Klosterneuburg","Österreich",,,,,,
"RIL IV Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"RIL VI Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"RIL VII Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"RIL XIII Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"RIL XIV Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"RILREU Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"RL Flussschifffahrts GmbH & Co KG","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"RL Grundstückverwaltung Klagenfurt-Süd GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"RL Hotel Palace Wien Besitz GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"RL Retail Holding GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"RL Thermal Beteiligungen GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"RL Thermal GmbH & Co Liegenschaftsverwaltung KG","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"RLKG Raiffeisen-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"RSAL Raiffeisen Steiermark Anlagenleasing GmbH","Finanzinstitut","Kaiserfeldgasse 5 - 7",8010,"Graz","Österreich",,,,,,
"RSB Anlagenvermietung Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,"+4315880852",,,
"RSIL Immobilienleasing Raiffeisen Steiermark GmbH","Finanzinstitut","Kaiserfeldgasse 5-7",8010,"Graz","Österreich",,,,,,
"RUBRA Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Rutter Leasing GmbH","Finanzinstitut","Tegetthoffstraße 7",1010,"Wien","Österreich",,,,,,
"SABAG Garagen Projekterrichtungs-und Vermietungs-GmbH in Liqu.","Finanzinstitut","Jakob-Haringer-Str.8",5020,"Salzburg","Österreich",,,,,,
"SABAG Projekterrichtungs- und Vermietungs-GmbH","Finanzinstitut","Jakob-Haringer-Str.8",5020,"Salzburg","Österreich",,,,,,
"SABAG Schulen Errichtungs- und Vermietungs-GmbH","Finanzinstitut","Jakob-Haringer-Str.8",5020,"Salzburg","Österreich",,,,,,
"SAL Liegenschaftsverwaltungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Salzburger Sparkasse Leasing Gesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"SAMARA Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Sana Grundstückverwaltungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"SATORIA Grundstückvermietung GmbH","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"Scania Leasing Österreich Ges.m.b.H.","Finanzinstitut","Johann Steinböckstraße 4",2345,"Brunn am Gebirge","Österreich",,,,,,
"SCIENTIA Immorent GmbH","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"S-City Center Wirtschaftsgütervermietungsgesellschaft m.b.H.","Finanzinstitut","Neunkirchner Str. 4",2700,"Wiener Neustadt","Österreich",,,,,,
"SCM V GmbH","Finanzinstitut","Adalbert Stifter Gasse 12",3400,"Klosterneuburg","Österreich",,,,,,
"SECA-Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Securilease Gesellschaft m.b.H.","Finanzinstitut","Sauraugasse 12",1130,"Wien","Österreich",,,,,,
"SEDEC Z Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Seilbahnleasing GmbH","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"SELENE Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"""SELIMMO"" - Sparkasse Mühlviertel-West - DIE ERSTE Leasing - Immobilienvermietung GmbH","Finanzinstitut","Stadtplatz 24",4150,"Rohrbach (OÖ)","Österreich",,,,,,
"Seniorenwohnheim Trofaiach Gesellschaft mbH & Co KG","Finanzinstitut","Hauptplatz 13",8280,"Fürstenfeld","Österreich",,,,,,
"Sext Z Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"SF Hotelerrichtungsgesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"SG Equipment Leasing Austria GmbH","Finanzinstitut","Mariahilfer Straße 123/1/2 Top 122",1060,"Wien","Österreich",,,"+431522341022",,,
"SG Transportation Leasing Austria GmbH","Finanzinstitut","Mariahilfer Straße 123/1/2/Top 122",1060,"Wien","Österreich",,,,,,
"""SGL"" Grundstücksverwaltungs- und Leasing Gesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Shopping Arena GmbH","Finanzinstitut","Alpenstraße 107",5020,"Salzburg","Österreich",,,,,,
"Siebenbrunnengasse 21 GmbH & Co OG","Finanzinstitut","Friedrichstraße 10",1010,"Wien","Österreich",,,,,,
"Sigma Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Silvretta-Center Leasing GmbH","Finanzinstitut","Rheinstraße 11",6900,"Bregenz","Österreich",,,,,,
"SINIS Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"S-Leasing Gesellschaft m.b.H.","Finanzinstitut","Hauptpl. 18",4560,"Kirchdorf an der Krems","Österreich",,,,,,
"S-Leasing Immobilienvermietungsgesellschaft m.b.H.","Finanzinstitut","Neunkirchner Straße 4",2700,"Wiener Neustadt","Österreich",,,,,,
"SL-LEASING Ges.m.b.H.","Finanzinstitut","Wollzeile 16",1010,"Wien","Österreich",,,,,,
"Smilax Real Estate GmbH","Finanzinstitut","Rotheau 68",3153,"Eschenau an der Traisen","Österreich",,,,,,
"SOLAR II Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"SOLIDA Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"SOLIS-CIVITAS-IMMORENT GmbH","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Sonata Leasing-Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Sparfinanz-, Vermögens-, Verwaltungs- und Beratungs-Gesellschaft m.b.H.","Finanzinstitut","Neunkirchner Straße 4",2700,"Wiener Neustadt","Österreich",,,,,,
"SPARKASSE IMMORENT Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Sparkassen Leasing Süd GmbH","Finanzinstitut","Andreas Hofer Platz 17",8010,"Graz","Österreich",,,,,,
"Sparkassen Leasing Süd GmbH & Co KG","Finanzinstitut","Andreas Hofer Platz 17",8010,"Graz","Österreich",,,,,,
"Spectrum Grundstücksverwaltungs-Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"SPICA Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"SPORT EYBL & SPORTS EXPERTS Logistikbetriebs GmbH","Finanzinstitut","Flugplatzstraße 30",4600,"Wels","Österreich",,,,,,
"Sport Kienpointner GmbH","Finanzinstitut","Dorfstraße 6",6384,"Waidring","Österreich",,,,,,
"SRE Immobilien GmbH","Finanzinstitut","Wipplingerstraße 4",1010,"Wien","Österreich",,,,,,
"Stadtgemeinde Bad Hall Errichtungs- und Betriebsgesellschaft m.b.H.","Finanzinstitut","Hauptplatz 5",4540,"Bad Hall","Österreich",,,,,,
"START Immobilienleasing GmbH","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,,,,
"Steirische Gemeindegebäude Leasing Gesellschaft m.b.H.","Finanzinstitut","Andreas Hofer Platz 17",8010,"Graz","Österreich",,,,,,
"Steirische Kommunalgebäudeleasing Gesellschaft m.b.H.","Finanzinstitut","Andreas Hofer Platz 17",8010,"Graz","Österreich",,,,,,
"Steirische Leasing für Gebietskörperschaften Gesellschaft m.b.H.","Finanzinstitut","Andreas Hofer Platz 17",8010,"Graz","Österreich",,,,,,
"Steirische Leasing für öffentliche Bauten Gesellschaft m.b.H.","Finanzinstitut","Andreas Hofer Platz 17",8010,"Graz","Österreich",,,,,,
"Steirische Raiffeisen - Immobilien - Leasing Gesellschaft m.b.H.","Finanzinstitut","Kaiserfeldg. 5-7",8010,"Graz","Österreich",,,,,,
"Stewe Grundstücksverwaltungs-Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Subholding Immorent GmbH","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"SUPRA HYPO Leasing GmbH in Liqu.","Finanzinstitut","Joanneumring 20",8010,"Graz","Österreich",,,,,,
"SUPRIA Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"SWO Kommunalgebäudeleasing Gesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Tabachnik Gesellschaft m.b.H.","Finanzinstitut","Ferstelgasse 1/8",1090,"Wien","Österreich",,,,,,
"TAURIS-Immorent Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"TAURUS Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H. in Liqu.","Finanzinstitut","Am Stadtpark 9",1030,"Wien","Österreich",,,,,,
"Telos Mobilien - Leasinggesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"Terz Z Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"THALLO Raiffeisen-Immobilien-Leasing GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Theuthras-Immorent Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Andreas Hofer Platz 17",8010,"Graz","Österreich",,,,,,
"THYMO Raiffeisen-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Tiroler Kommunalgebäudeleasing Gesellschaft m.b.H.","Finanzinstitut","Sparkassenplatz 5",6020,"Innsbruck","Österreich",,,,,,
"Tiroler Landesprojekte Grundverwertungs GmbH","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"TKL II. Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Sparkassenplatz 5",6020,"Innsbruck","Österreich",,,,,,
"TKL V Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"TKL VI Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"TKL VII Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"TKL VIII Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"TRABITUS Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"TREDEC Z Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Treisma Grundstücksverwaltungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"UCLA Immo-Beteiligungsholding GmbH & Co KG","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Ufficium Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"UNDA Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"Unicom Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"UniCredit AURORA Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"UniCredit Garagen Errichtung und Verwertung GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"UniCredit Global Leasing Export GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"UniCredit Insurance Management CEE GmbH","Finanzinstitut","Julius Tandler Platz 3",1090,"Wien","Österreich",,,,,,
"UniCredit KFZ Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"UniCredit Leasing (Austria) GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,"+4315880852",,,
"UniCredit Leasing Technikum GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"UniCredit Luna Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"UniCredit Mobilien und KFZ Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"UniCredit Pegasus Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"UniCredit Polaris Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"UniCredit TechRent Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"UniCredit Zega Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"UNIQA Immobilien-Projekterrichtungs GmbH","Finanzinstitut","Untere Donaustraße 21",1029,"Wien","Österreich",,,,,,
"UNIQA Leasing GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"UNTERINNTALER Raiffeisen-Leasing Gesellschaft m.b.H. & Co KG","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"URSA Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"VALET-Grundstückverwaltungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"VANELLA Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Vape Communa Leasinggesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"VB Kärnten Leasing GmbH","Finanzinstitut","Hauptplatz 8",9170,"Ferlach","Österreich",,,,,,
"VB Real Estate Leasing Alpha GmbH","Finanzinstitut","Peregringasse 2",1090,"Wien","Österreich",,,,,,
"VB Real Estate Leasing Delta GmbH","Finanzinstitut","Peregringasse 2",1090,"Wien","Österreich",,,,,,
"VB Real Estate Leasing FMZ eins GmbH","Finanzinstitut","Peregringasse 2",1090,"Wien","Österreich",,,,,,
"VB Real Estate Leasing Gamma GmbH","Finanzinstitut","Peregringasse 2",1090,"Wien","Österreich",,,,,,
"VB Real Estate Leasing Ismene GmbH","Finanzinstitut","Peregringasse 2",1090,"Wien","Österreich",,,,,,
"VB Real Estate Leasing Penta GmbH","Finanzinstitut","Peregringasse 2",1090,"Wien","Österreich",,,,,,
"VB Real Estate Leasing RAI GmbH","Finanzinstitut","Peregringasse 2",1090,"Wien","Österreich",,,,,,
"VB Real Estate Leasing Viribus GmbH","Finanzinstitut","Schmiedgasse 31",8010,"Graz","Österreich",,,,,,
"VB Real Estate Services GmbH","Finanzinstitut","Peregringasse 2",1090,"Wien","Österreich",,,,,,
"VBC 3 Errichtungs GmbH","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
